day,profit,degradation,net
0,1.820204894660015,0.7600296768095416,1.0601752178504733
1,6.971471107272791e-06,0.5022839272619973,-0.50227695579089
2,6.479604845042723e-06,0.5022839729338135,-0.5022774933289685
3,72.89197016371523,2.295619508624428,70.5963506550908
4,6.715544015071384e-06,0.5022839176749143,-0.5022772021308992
5,6.067529826522267e-06,0.502283942675054,-0.5022778751452275
6,5.441145229430967e-06,0.5022838232314545,-0.5022783820862251
7,5.797508614633377e-06,0.5022838299706225,-0.5022780324620079
8,6.3953807157006e-06,0.5022839387480265,-0.5022775433673108
9,6.022908251952352e-06,0.5022839354489466,-0.5022779125406946
10,5.720171500081964e-06,0.5022839248530697,-0.5022782046815696
11,6.177803111832495e-06,0.5022839268783452,-0.5022777490752334
12,6.816559258414799e-06,0.5022839535334459,-0.5022771369741875
13,5.7191268637053164e-06,0.5022838227497355,-0.5022781036228717
14,5.317978291122852e-06,0.5022838032293616,-0.5022784852510704
15,5.927380872421062e-06,0.5022839026140847,-0.5022779752332123
16,6.8781290501245185e-06,0.5022839347592855,-0.5022770566302354
17,74.1499167496084,2.294006592259495,71.8559101573489
18,73.21283987298295,2.3293986863878695,70.88344118659508
19,8.236569402935821e-06,0.5022839136258196,-0.5022756770564166
20,6.869545000302957e-06,0.5022838363452568,-0.5022769668002565
21,6.332053651451991e-06,0.5022838358739584,-0.502277503820307
22,6.089493005352432e-06,0.5022839326111336,-0.5022778431181282
23,5.972797423829964e-06,0.5022839212157822,-0.5022779484183584
24,6.339950603250657e-06,0.502283909867344,-0.5022775699167407
25,6.80240142410239e-06,0.5022839403858961,-0.5022771379844719
26,6.863015225572417e-06,0.5022838996120854,-0.5022770365968598
27,6.966073523931668e-06,0.5022838565987043,-0.5022768905251804
28,6.097564517645502e-06,0.5022838215267047,-0.5022777239621871
29,47.02402795205378,2.285806816818106,44.73822113523567
30,8.499570772556092e-06,0.5022839585783153,-0.5022754590075428
31,7.2263609426444065e-06,0.5022839180663852,-0.5022766917054425
32,6.765387520942456e-06,0.5022839614043522,-0.5022771960168312
33,5.618640120526813e-06,0.5022838985708743,-0.5022782799307538
34,6.578274363277174e-06,0.5022838663290522,-0.502277288054689
35,5.883052160092802e-06,0.5022838468296326,-0.5022779637774725
36,6.948283189391336e-06,0.5022839303063121,-0.5022769820231228
37,6.228261490515921e-06,0.5022839339801902,-0.5022777057186997
38,5.661654368914732e-06,0.5022839224778479,-0.502278260823479
39,5.831193261470098e-06,0.5022839068583873,-0.5022780756651258
40,74.83486012269802,2.325051409003176,72.50980871369484
41,47.515213789757574,2.2666817865489794,45.248532003208595
42,46.79104893192763,2.307158014598367,44.48389091732926
43,46.74370314078965,2.317087554657573,44.42661558613207
44,74.25091518937218,2.3968112888873905,71.85410390048479
45,73.4905250115758,2.2945116827596768,71.19601332881612
46,73.44778562565291,2.364891730458735,71.08289389519418
47,6.9773130099755585e-06,0.5022839730358547,-0.5022769957228447
48,5.796521032435103e-06,0.5022838659703969,-0.5022780694493645
49,6.024690143693496e-06,0.5022838640536188,-0.5022778393634751
50,6.280081272767885e-06,0.5022839402616212,-0.5022776601803484
51,5.9611094847578155e-06,0.502283934235738,-0.5022779731262532
52,5.772470393339886e-06,0.5022838962327726,-0.5022781237623792
53,74.01926040968878,2.2906321048550518,71.72862830483373
54,6.663112451169468e-06,0.5022839428070879,-0.5022772796946368
55,6.024051990133902e-06,0.5022838817414174,-0.5022778576894272
56,5.696955045655475e-06,0.5022839106081933,-0.5022782136531476
57,5.301002516258524e-06,0.5022839237902982,-0.5022786227877819
58,5.9781160333679964e-06,0.5022839392629859,-0.5022779611469524
59,5.367338382325022e-06,0.5022839225587199,-0.5022785552203376
60,5.37234133601028e-06,0.5022839225400244,-0.5022785501986884
61,6.4478112204207526e-06,0.5022839359988657,-0.5022774881876453
62,6.186710618220112e-06,0.502283898333075,-0.5022777116224567
63,6.214784042934082e-06,0.5022839048896481,-0.5022776901056052
64,6.0464449053829216e-06,0.5022839393287003,-0.5022778928837949
65,75.66756624545604,2.4004545659519545,73.26711167950408
66,3.0050434344392705,2.0953884957468105,0.90965493869246
67,1.0523019697873868,0.9951326552584058,0.057169314528981
68,74.68510348912972,2.360805802466514,72.3242976866632
69,5.928812364348467e-06,0.5022839592663237,-0.5022780304539594
70,4.115298979938838,2.1736577317328125,1.9416412482060252
71,3.709067231242092,2.1251914462921846,1.5838757849499072
72,3.4052535337152885,1.980498070489463,1.4247554632258255
73,49.05907141779505,2.90002579957938,46.15904561821567
74,74.13648823531713,2.3857815440960968,71.75070669122104
75,48.42970941404798,2.3859292764994784,46.043780137548495
76,7.0653868615995075,2.4173961019027757,4.647990759696732
77,7.068352077567694e-06,0.5022839084571247,-0.5022768401050471
78,47.96486635556983,2.327361493499789,45.637504862070045
79,8.298142109734878,3.780073229300488,4.51806888043439
80,5.581291051278016,2.221410301121206,3.35988075015681
81,6.260962288153131,2.2312104909418546,4.029751797211276
82,6.358878423349013e-06,0.5022838838214138,-0.5022775249429904
83,0.0005603169929708394,0.5160231376634578,-0.5154628206704869
84,7.15961956337586,3.0800357141341355,4.0795838492417245
85,0.11360090200214745,0.5796752725862709,-0.4660743705841235
86,2.184204891352192,1.3312059256263507,0.8529989657258412
87,8.206098291392156,3.650322361381265,4.55577593001089
88,6.94866954842461e-06,0.5022838721091439,-0.5022769234395955
89,6.378434795347674e-06,0.5022838836283714,-0.5022775051935761
90,6.27161739522822e-06,0.502283882143734,-0.5022776105263388
91,6.12383959632848e-06,0.5022838697739407,-0.5022777459343444
92,0.029053034760282287,0.6245145511991484,-0.5954615164388661
93,6.925804534949269,2.3315654561724766,4.594239078776793
94,6.791148513655999e-06,0.50228386550691,-0.5022770743583963
95,6.4159647627430935e-06,0.502283880960633,-0.5022774649958703
96,1.8536395206375524,1.5140340138659683,0.3396055067715842
97,6.290198911633728,2.333400155765031,3.956798755868697
98,4.149424328086869,2.2054913150223654,1.9439330130645032
99,6.914690972135603,2.4002044300302012,4.514486542105402
100,6.45238679260854e-06,0.5022838578814398,-0.5022774054946472
101,6.0343626084975566e-06,0.5022838555427572,-0.5022778211801487
102,3.3146085683520576,2.108244906598081,1.2063636617539766
103,6.254137174953776,2.244734160449251,4.0094030145045245
104,2.147203180931291,1.3734974630379226,0.7737057178933684
105,6.694139589558842,2.7701565986919365,3.923982990866905
106,6.539929123125884e-06,0.5022838615590635,-0.5022773216299403
107,7.034436708277477e-06,0.5022838634403036,-0.5022768290035954
108,47.992729314936945,2.353783634557736,45.63894568037921
109,6.87288317094639e-06,0.5022838469951062,-0.5022769741119353
110,6.168773656706939e-06,0.5022838511826335,-0.5022776824089769
111,5.7668916051875235e-06,0.5022838242983977,-0.5022780574067925
112,-0.017515604425408317,0.5352725761053677,-0.552788180530776
113,5.640444082069677,2.2707954075121797,3.369648674557497
114,5.900284507918795e-06,0.5022838577495801,-0.5022779574650722
115,5.779218263443967e-06,0.5022838611334309,-0.5022780819151675
116,6.134577651978478e-06,0.5022838636542682,-0.5022777290766163
117,0.49655458406702446,1.0332661815680064,-0.536711597500982
118,6.895598477537902,3.1915055234969243,3.704092954040978
119,2.137054244729345,1.5065111207399875,0.6305431239893573
