day,profit,degradation,net
0,6.7765111825751685,2.934399963477605,3.8421112190975637
1,5.378399079781257e-06,0.5022838988289968,-0.502278520429917
2,3.798942688515787,2.2069118030181336,1.5920308854976533
3,4.864090838700606,2.2449280296520926,2.6191628090485133
4,5.710092568529632e-06,0.5022839123689474,-0.5022782022763789
5,5.188033123869649e-06,0.5022839273623566,-0.5022787393292327
6,5.424730527049838,2.3252819722332525,3.0994485548165853
7,5.135979873484829e-06,0.5022839055219998,-0.5022787695421262
8,2.7214137941863563,1.6418998630550061,1.0795139311313502
9,4.090580880945899,2.198109268451362,1.8924716124945364
10,5.25299375845426e-06,0.5022839510682139,-0.5022786980744555
11,8.213883303481078,3.1349454871962226,5.078937816284855
12,5.142033831841e-06,0.502283993034031,-0.5022788510001992
13,6.946328333502446,3.2127577419332254,3.733570591569221
14,5.386700101869514e-06,0.5022838791055242,-0.5022784924054223
15,5.204939072600335e-06,0.5022838836620032,-0.5022786787229305
16,4.967021267722941e-06,0.5022839425488769,-0.5022789755276091
17,6.556915121382719,3.1101432389350308,3.4467718824476883
18,-0.009803972211822637,0.8077390330624187,-0.8175430052742413
19,4.429822856272299,2.2877930854277384,2.1420297708445606
20,7.690791624204279,3.0624583060519286,4.62833331815235
21,5.2244444909032035,2.4580635970027673,2.766380893900436
22,6.9639955673241865,2.273376433723895,4.690619133600292
23,5.39879161415462e-06,0.5022838617164509,-0.5022784629248367
24,5.632848858393338e-06,0.5022838541591226,-0.5022782213102642
25,6.275711990287654e-06,0.5022838617861138,-0.5022775860741235
26,6.301270315628553e-06,0.5022838627172792,-0.5022775614469636
27,5.795399812656647e-06,0.502283857216158,-0.5022780618163454
28,5.125091992870704e-06,0.5022839191363943,-0.5022787940444013
29,8.300685241408122,3.784466238282797,4.516219003125324
30,5.897435566610637e-06,0.5022838272556502,-0.5022779298200837
31,6.243034747814781e-06,0.50228382415414,-0.5022775811193921
32,6.936123729258952e-06,0.5022838665484418,-0.5022769304247126
33,6.443036902469839e-06,0.502283864639762,-0.5022774216028596
34,6.6692095145981535e-06,0.5022838650424919,-0.5022771958329773
35,6.548967494409286e-06,0.502283864098141,-0.5022773151306466
36,6.5910729504550894e-06,0.5022838618202997,-0.5022772707473493
37,6.488159145375211e-06,0.5022838195110346,-0.5022773313518892
38,7.684060764346072e-06,0.5022838421748291,-0.5022761581140648
39,73.87160534523701,2.4093553059333166,71.4622500393037
40,48.38249614294873,2.4037782492614226,45.97871789368731
41,7.253231635171889e-06,0.5022838710106912,-0.502276617779056
42,7.638044547887953e-06,0.50228387434956,-0.5022762363050122
43,0.3585912198328145,0.675931980929389,-0.3173407610965745
44,7.10067984976028e-06,0.502283829692616,-0.5022767290127662
45,6.984002865882244e-06,0.502283829202448,-0.502276845199582
46,7.576807193998794e-06,0.5022838590503185,-0.5022762822431245
47,7.092742883141042e-06,0.5022838732903807,-0.5022767805474976
48,6.995820130280835e-06,0.5022838737690551,-0.5022768779489248
49,7.033281991502165e-06,0.5022838750382127,-0.5022768417562212
50,6.794625246592023e-06,0.5022838719811651,-0.5022770773559185
51,6.59084731943444e-06,0.5022838269816231,-0.5022772361343036
52,6.209718651866478e-06,0.5022838253968439,-0.5022776156781921
53,6.553336027658624e-06,0.5022838758301423,-0.5022773224941147
54,6.637224041594553e-06,0.5022838773493234,-0.5022772401252819
55,6.588726956215574e-06,0.5022838768706553,-0.5022772881436991
56,6.67035939353854e-06,0.5022838790748856,-0.5022772087154921
57,6.498650640589525e-06,0.5022838776070625,-0.5022773789564219
58,5.92830087789077e-06,0.5022838272583969,-0.5022778989575191
59,6.105174698050977e-06,0.5022838282216574,-0.5022777230469594
60,6.196753049871981e-06,0.5022838812996059,-0.502277684546556
61,6.594568403566444e-06,0.5022838832025365,-0.5022772886341329
62,6.734171509312202e-06,0.5022838853326276,-0.5022771511611183
63,6.527440722661643e-06,0.5022838895633897,-0.5022773621226669
64,7.035156701526831e-06,0.5022838873371658,-0.5022768521804643
65,6.621931576706389e-06,0.5022838334858466,-0.5022772115542699
66,6.58214174089581e-06,0.5022838345268883,-0.5022772523851474
67,6.654642285899917e-06,0.5022838904182407,-0.5022772357759548
68,6.9861613404222375e-06,0.5022838914369292,-0.5022769052755888
69,6.9104703719694245e-06,0.5022838894787212,-0.5022769790083492
70,6.533460832467216e-06,0.5022838561874967,-0.5022773227266643
71,6.872601281974206e-06,0.5022838928101291,-0.5022770202088471
72,6.786739717606968e-06,0.5022838391571517,-0.502277052417434
73,6.959537973225864e-06,0.50228384060733,-0.5022768810693568
74,7.622246659638954e-06,0.5022838972229879,-0.5022762749763283
75,7.646936740631409e-06,0.5022838968200929,-0.5022762498833523
76,7.2061874360804235e-06,0.5022838981452071,-0.502276691957771
77,7.240705677585474e-06,0.5022838988724658,-0.5022766581667882
78,7.020506045416257e-06,0.5022838971188849,-0.5022768766128395
79,6.735270780964129e-06,0.502283844477042,-0.502277109206261
80,6.949210477974391e-06,0.5022838466173137,-0.5022768974068358
81,7.148350193517222e-06,0.5022838988262999,-0.5022767504761063
82,6.74980479621891e-06,0.5022839000730245,-0.5022771502682283
83,6.464790987862968e-06,0.5022839003900732,-0.5022774355990853
84,6.419184080177948e-06,0.5022839001997886,-0.5022774810157085
85,6.499749861437709e-06,0.5022839002649021,-0.5022774005150407
86,6.719688602185988e-06,0.5022838496908376,-0.5022771300022354
87,6.658324165984528e-06,0.502283853053897,-0.502277194729731
88,6.929069321452075e-06,0.5022839050295099,-0.5022769759601885
89,6.735227610253912e-06,0.5022839051553392,-0.5022771699277289
90,6.960056312536507e-06,0.5022839082478374,-0.5022769481915249
91,6.898664014309135e-06,0.5022839081829155,-0.5022770095189012
92,6.71873282922416e-06,0.5022839090040454,-0.5022771902712162
93,6.3070596933004624e-06,0.5022838622136628,-0.5022775551539695
94,6.3506822430718005e-06,0.502283865228539,-0.5022775145462959
95,6.512592287911553e-06,0.502283909899579,-0.5022773973072912
96,6.760711802147553e-06,0.5022839117831658,-0.5022771510713636
97,6.835247368706046e-06,0.5022839121011522,-0.5022770768537835
98,6.922998999073535e-06,0.502283914064547,-0.5022769910655479
99,6.751970967153177e-06,0.5022839146203003,-0.5022771626493332
100,6.891780741893259e-06,0.5022838895390868,-0.5022769977583449
101,7.8142431053608e-06,0.5022839107897205,-0.5022760965466151
102,45.341098769929985,2.37458567775166,42.966513092178324
103,9.185796219614117e-06,0.5022839305886905,-0.5022747447924708
104,8.391334751304037e-06,0.5022839255580597,-0.5022755342233084
105,7.3671954313136135e-06,0.5022839213167202,-0.5022765541212889
106,6.72529776400696e-06,0.5022839175839169,-0.5022771922861529
107,6.457769642151017e-06,0.5022838947362145,-0.5022774369665723
108,6.527270491560264e-06,0.5022838991739668,-0.5022773719034752
109,6.666106169746773e-06,0.5022839265887311,-0.5022772604825614
110,7.3566249819633194e-06,0.5022839341652166,-0.5022765775402346
111,7.818183872300044e-06,0.5022839328459038,-0.5022761146620315
112,7.746353263756975e-06,0.5022839351179228,-0.5022761887646591
113,7.682130930968499e-06,0.5022839299382663,-0.5022762478073354
114,7.2046437883392075e-06,0.5022839164659629,-0.5022767118221746
115,6.797592266276229e-06,0.5022839221969343,-0.502277124604668
116,7.5103758196658346e-06,0.5022839327779323,-0.5022764224021126
117,6.768452132583438e-06,0.5022839265897656,-0.5022771581376331
118,6.677513110878073e-06,0.5022839272817127,-0.5022772497686018
119,6.656846007494879e-06,0.5022839239682955,-0.5022772671222879
