day,profit,degradation,net,adapted,disagreement,nll,nll_post
0,6.160424208492976,2.5595324443583327,3.600891764134643,1.0,0.018220101153522957,-64.25021362304688,-60.18994140625
1,1.8314738634949885,3.1610757669461753,-1.3296019034511868,1.0,0.01672245190384136,80.8265609741211,-46.032752990722656
2,-0.30682882044810694,0.7327109206112028,-1.0395397410593097,1.0,0.07343678425267451,-74.79396057128906,-66.20361328125
3,0.5458476711765449,2.383306748184957,-1.837459077008412,1.0,0.024295123416196496,-63.86254119873047,-77.41506958007812
4,0.7283123956848191,2.408068526639991,-1.6797561309551718,1.0,0.02206218020278319,-87.70841217041016,-69.22303771972656
5,0.1013013105599323,2.4280194893259877,-2.3267181787660554,1.0,0.015237073506362947,-61.07520294189453,-62.80028533935547
6,-0.401307459810911,2.3599415747215686,-2.7612490345324794,1.0,0.01643258210105011,-67.33489227294922,-71.50831604003906
7,2.555232744842962,2.231542085560784,0.3236906592821782,1.0,0.03355241121429648,-5.766716957092285,-37.48596954345703
8,-3.814349932446337,1.6306144356493142,-5.444964368095651,1.0,0.031211931375855193,-62.029205322265625,-64.70807647705078
9,1.1434902594916903,2.2011838175275487,-1.0576935580358584,1.0,0.031763541134747206,-77.84478759765625,-85.83209991455078
10,3.86832495062793,2.1666283789318723,1.7016965716960577,1.0,0.016935916114259264,-73.41303253173828,-83.22171020507812
11,0.9101011179589236,1.7403358142290835,-0.8302346962701599,1.0,0.011346392515914834,-61.626243591308594,-57.06529998779297
12,1.904720146663262,1.911534590948468,-0.006814444285206056,1.0,0.01906771067868269,-73.5697021484375,-69.94647216796875
13,-1.6495949868942466,1.7581629260850204,-3.407757912979267,1.0,0.010269619659602798,-77.5280532836914,-71.54730224609375
14,3.1984238598354158,2.226646850558123,0.9717770092772926,1.0,0.007727196400545158,-72.53164672851562,-83.01475524902344
15,0.36846319726107174,2.0853119315339614,-1.7168487342728898,1.0,0.01628805898468373,-82.9917984008789,-83.78142547607422
16,0.0095514655612401,2.247087947805538,-2.237536482244298,1.0,0.011442697476304704,-81.657958984375,-83.55294799804688
17,6.014630470982019,2.356046939172643,3.6585835318093762,1.0,0.012068994854347153,333.1865234375,-7.25532341003418
18,0.3794502853221711,1.3072966970718727,-0.9278464117497016,1.0,0.061975452945247554,-57.315040588378906,-65.80728912353516
19,6.184246624877107e-06,0.5022837858446433,-0.5022776015980184,1.0,0.014289222155678733,-82.27606201171875,-72.09893798828125
20,-1.4503951692661612,3.7782786397084047,-5.228673808974566,1.0,0.01383946025030446,-71.1784896850586,-74.81867218017578
21,8.31974218970829,2.6844941829439413,5.635248006764348,1.0,0.013181284272772186,437.0869140625,4.171448707580566
22,5.808657382887028e-06,0.5022838178446728,-0.5022780091872899,1.0,0.025499085837724617,-74.2963638305664,-81.18559265136719
23,5.840750310996421e-06,0.5022837920522583,-0.5022779513019473,1.0,0.019115913526473016,-78.30448150634766,-83.5320816040039
24,-0.0805316184813699,0.6705100590892801,-0.75104167757065,1.0,0.017666227754502994,-67.82659149169922,-73.0183334350586
25,0.8232551030463489,2.302146852512695,-1.4788917494663463,1.0,0.009949448724376211,-76.6666259765625,-66.75152587890625
26,0.035998337075599685,2.5562303546492036,-2.520232017573604,1.0,0.016397720338217937,-65.23609924316406,-63.22764587402344
27,3.8603332465404954,3.0231664957789497,0.8371667507615457,1.0,0.01333579061391478,-11.432433128356934,-16.680400848388672
