day,profit,degradation,net,buffer_size
0,1.1099427904485548,0.6797625586547466,0.43018023179380827,24.0
1,7.75207502275567e-06,0.5022839232185853,-0.5022761711435625,48.0
2,-0.00014028559641061965,0.5863830079050182,-0.5865232935014288,72.0
3,7.359499277570598e-06,0.5022839182145388,-0.5022765587152612,96.0
4,6.695724769367545e-06,0.5022839432496918,-0.5022772475249224,120.0
5,58.82991624206047,3.6774121695323294,55.15250407252814,144.0
6,142.61955193820387,3.8154947814570175,138.80405715674686,168.0
7,3.9916621288178997,4.143651909989836,-0.15198978117193596,192.0
8,69.08348266709189,2.2545737360732923,66.82890893101859,216.0
9,-0.09682656050166942,0.6894273565990712,-0.7862539171007406,240.0
10,8.058456997239979e-06,0.5022839616910659,-0.5022759032340687,264.0
11,7.849907473732324e-06,0.5022840854729728,-0.502276235565499,288.0
12,71.06843676847237,2.430112806929175,68.6383239615432,312.0
13,46.115846802163645,4.574937456216758,41.540909345946886,336.0
14,108.82048282730595,4.467431363632654,104.3530514636733,360.0
15,69.3446725736847,3.933383612312882,65.41128896137182,384.0
16,72.82543067126042,2.58134051534465,70.24409015591577,408.0
17,-0.45905467805866224,0.9168527804949868,-1.375907458553649,432.0
18,-0.09989229083419221,0.7690159894688681,-0.8689082803030603,456.0
19,6.217696489673656e-06,0.5022840049839561,-0.5022777872874664,480.0
20,-0.055250866863847614,2.064737011124587,-2.119987877988435,504.0
21,47.89032328342455,2.955310058162502,44.93501322526205,528.0
22,0.15342422287768126,2.2463431562014624,-2.092918933323781,552.0
23,68.84362660750685,4.148334131416398,64.69529247609046,576.0
24,-0.8397847202860751,2.278862978586474,-3.118647698872549,600.0
25,0.14305642524433848,2.3077506286869927,-2.164694203442654,624.0
26,0.6858517892685949,3.8485196343417263,-3.1626678450731314,648.0
27,-0.30723902188728897,2.304652916737787,-2.611891938625076,672.0
28,1.92143561709368,2.3305187625106587,-0.40908314541697877,696.0
29,-0.5247420106478161,2.2770787423733134,-2.8018207530211297,720.0
30,-2.5902054206285476,2.4619989155812925,-5.05220433620984,744.0
31,61.07292819803457,3.4751869951141843,57.59774120292038,768.0
32,49.24907400726986,3.6426818798384955,45.60639212743136,792.0
33,58.494823920279345,3.878846041795316,54.61597787848403,816.0
34,72.75142915427224,4.259759840872118,68.49166931340012,840.0
35,83.16699587901932,4.000598153276953,79.16639772574237,864.0
36,62.62600155710098,4.0688142665970295,58.55718729050395,888.0
37,62.88031546930005,4.073466171137458,58.80684929816259,912.0
38,62.920248660482635,4.2421645206114595,58.678084139871174,936.0
39,53.64085511491434,4.1578361180229875,49.48301899689135,960.0
40,56.39856443162322,4.04929788252838,52.34926654909484,984.0
41,93.85156890462363,5.826697285127641,88.024871619496,1008.0
42,82.35594647939608,4.788056954985403,77.56788952441067,1032.0
43,43.30074442419597,4.789462237078847,38.511282187117125,1056.0
44,48.73306328815016,4.408551854098432,44.32451143405173,1080.0
45,48.78451299775881,4.771561913150735,44.012951084608076,1104.0
46,52.46912998818759,4.726391518712871,47.742738469474716,1128.0
47,126.11520618018218,4.115336419122616,121.99986976105957,1152.0
48,125.74243730524792,4.202644659767559,121.53979264548036,1176.0
49,104.52358531902738,4.0137432587274855,100.50984206029989,1200.0
50,102.74847534405902,3.4734880959673426,99.27498724809168,1224.0
51,134.3468974859498,4.80755465998772,129.53934282596208,1248.0
52,57.10142365901268,4.9973199725401845,52.1041036864725,1272.0
53,51.36774407228616,2.727709653292727,48.64003441899343,1296.0
54,109.45447831345261,3.2527178698597687,106.20176044359285,1320.0
55,104.37169418002166,3.5941050327283177,100.77758914729334,1344.0
56,66.11835539799768,3.729294683679378,62.3890607143183,1368.0
57,51.62108113686446,4.261787326802997,47.359293810061466,1392.0
58,51.468079079073775,3.827619028389516,47.64046005068426,1416.0
59,42.19636428745215,2.6471611482210124,39.54920313923114,1440.0
60,67.27366035017306,3.003696045643134,64.26996430452992,1464.0
61,66.74821748284609,4.213912337241515,62.53430514560457,1488.0
62,69.47508989716636,2.8628441332570276,66.61224576390933,1512.0
63,113.94202108648935,4.04509641772094,109.8969246687684,1536.0
64,47.851455277058975,4.257171783014786,43.59428349404419,1560.0
65,41.5494809796469,4.532005956675999,37.0174750229709,1584.0
66,64.2658750978608,3.2497776601260857,61.016097437734715,1608.0
67,54.70558161621308,3.1509871627049133,51.554594453508166,1632.0
68,120.54209409843695,3.7937976731955283,116.74829642524142,1656.0
69,120.88570238622313,4.950271510543433,115.9354308756797,1680.0
70,89.80869972992348,3.9040929285169885,85.90460680140649,1704.0
71,113.24778865533104,4.385025744753043,108.862762910578,1728.0
72,115.25863758098004,4.383871742321264,110.87476583865877,1752.0
73,56.63362265851627,2.6985690335972703,53.935053624919,1776.0
74,46.749128608938385,2.9738023780261713,43.77532623091221,1800.0
75,122.98464378195357,3.5650534695075677,119.41959031244599,1824.0
76,152.9484389226576,5.150878814595277,147.79756010806233,1848.0
77,111.9391994905676,3.9980718720296666,107.94112761853793,1872.0
78,90.44241649794373,4.33027546574872,86.11214103219501,1896.0
