day,profit,degradation,net,buffer_size
0,3.754932655183861,1.179661131370944,2.5752715238129174,24.0
1,0.042794911447576925,0.5444324378530799,-0.501637526405503,48.0
2,0.0003754173926273478,0.5931554113124765,-0.5927799939198491,72.0
3,7.65492944389101e-06,0.5022838582161209,-0.502276203286677,96.0
4,7.421198068383431e-06,0.5022838426149712,-0.5022764214169028,120.0
5,7.984205806600144e-06,0.5022838483018802,-0.5022758640960736,144.0
6,-0.029246195318634892,0.5412802229408116,-0.5705264182594465,168.0
7,-0.0852635324045056,1.3262649132683904,-1.411528445672896,192.0
8,8.139614005799086e-06,0.5022838726796646,-0.5022757330656588,216.0
9,0.11841458957494996,0.6577954912744565,-0.5393809016995065,240.0
10,66.40451557314434,2.3227173351254584,64.08179823801888,264.0
11,65.57542779956844,2.335206132541304,63.24022166702714,288.0
12,62.1478024839551,2.258081583215172,59.889720900739924,312.0
13,65.72208962322343,3.0814858859728718,62.64060373725055,336.0
14,24.17928106583489,4.14073462108269,20.0385464447522,360.0
15,62.74106678684276,2.684358039247615,60.056708747595145,384.0
16,6.55378664939673,3.1679964496255044,3.3857901997712254,408.0
17,68.00820062668625,3.877598863168132,64.13060176351811,432.0
18,0.5230159276966115,2.55119765852762,-2.0281817308310086,456.0
19,0.6817981469088777,2.297008771263469,-1.6152106243545914,480.0
20,65.42745772231305,2.1474841021624,63.27997362015065,504.0
21,54.38110106880027,3.067124173737758,51.31397689506251,528.0
22,65.79718261577298,2.4298374416584263,63.367345174114554,552.0
23,44.225718315071646,2.23725486738002,41.98846344769163,576.0
24,0.36778513691510545,1.4876112961171655,-1.11982615920206,600.0
25,-1.6482246398710136,2.0762180694484695,-3.724442709319483,624.0
26,-0.5353852837037075,2.046161785896064,-2.5815470695997713,648.0
27,-0.5934487481557603,2.0417992261519906,-2.635247974307751,672.0
28,1.392994122180024,2.1937581185843977,-0.8007639964043738,696.0
29,45.97998482805733,2.111777827286479,43.86820700077085,720.0
30,-1.3077367209659443,2.0357490968206147,-3.3434858177865587,744.0
31,-0.32217458234625923,2.7594463084377976,-3.0816208907840568,768.0
32,-0.5915311093670953,1.8886976077383153,-2.4802287171054105,792.0
33,-0.4496315334618826,1.9931578800451166,-2.442789413506999,816.0
34,0.2698697914905503,2.8546463738820185,-2.584776582391468,840.0
35,6.060167178718931,2.9003390561774918,3.1598281225414393,864.0
36,3.3433294596009047,2.5376079247778853,0.8057215348230193,888.0
37,4.323510211279289,2.5946497993079523,1.7288604119713367,912.0
38,1.6609275716127152,2.487319934839022,-0.8263923632263068,936.0
39,0.9898599812789549,2.2779371369589794,-1.2880771556800243,960.0
40,1.0964513177033455,2.1770110231700013,-1.0805597054666558,984.0
41,2.0948535569286495,2.5154769481091837,-0.42062339118053416,1008.0
42,2.5548478255225935,2.5493533301238234,0.005494495398770116,1032.0
43,-0.2884793057445251,2.034688617813927,-2.323167923558452,1056.0
44,4.592709217366857,2.433067572516787,2.15964164485007,1080.0
45,3.8624659957719283,2.8824258077233282,0.9800401880486,1104.0
46,0.26640029279466965,2.2803369923771557,-2.013936699582486,1128.0
47,4.631721736253477,2.329943926397879,2.3017778098555977,1152.0
48,4.633151421372169,2.519236032315991,2.113915389056178,1176.0
49,3.256365024111484,2.478598244578644,0.7777667795328402,1200.0
50,1.2385145360847065,2.380716062379431,-1.1422015262947245,1224.0
51,1.6337061472921768,2.4127874059631647,-0.7790812586709879,1248.0
52,1.0390786006850412,2.7219323956731487,-1.6828537949881075,1272.0
53,0.9068573468776232,2.4861386144996,-1.579281267621977,1296.0
54,2.674262544635833,2.3783048522948556,0.29595769234097746,1320.0
55,7.689112586713713,2.3411640648211973,5.347948521892516,1344.0
56,1.3202651773283371,2.402064312661974,-1.0817991353336367,1368.0
57,7.21453823650498,2.426791668061397,4.787746568443583,1392.0
58,4.407100997837549,2.5776189399500025,1.8294820578875468,1416.0
59,2.742915109531527,2.3790704132447082,0.3638446962868187,1440.0
60,3.3173320791620213,2.553163359537658,0.7641687196243634,1464.0
61,-0.25765409191555594,2.860788456246399,-3.1184425481619553,1488.0
62,1.345604469690562,3.138138827250031,-1.7925343575594688,1512.0
63,4.484418007403318,2.70105794699425,1.7833600604090676,1536.0
64,0.5765146909671182,2.4135137005127736,-1.8369990095456554,1560.0
65,34.899442515419786,2.7635229691660914,32.135919546253696,1584.0
66,11.426895434211211,2.88864426641872,8.538251167792492,1608.0
67,-0.3709059936522914,3.129268197425359,-3.50017419107765,1632.0
68,2.393554709671118,3.1250098572520852,-0.7314551475809674,1656.0
