day,profit,degradation,net,adapted,disagreement,nll,nll_post
0,2.228788477438112,1.0269861342274744,1.2018023432106375,1.0,0.013429460886079539,-48.9256591796875,-33.640869140625
1,-3.318811295152612,1.4677025073024892,-4.786513802455101,1.0,0.014403299111648038,69.50238037109375,-48.04502868652344
2,1.9735746198206199,2.093004340085172,-0.11942972026455223,1.0,0.018615202309729423,-24.363279342651367,-65.80921173095703
3,-3.288017699944676,2.117531718182471,-5.405549418127147,1.0,0.03318218282539312,-75.62015533447266,-80.34528350830078
4,2.468457929166733,3.3608574519321035,-0.8923995227653707,1.0,0.025079066054840265,-77.52201080322266,-75.9725570678711
5,-3.343353397007837,3.403439924819173,-6.74679332182701,1.0,0.01956109807272907,-77.25283813476562,-85.74693298339844
6,-1.1105995688483212,1.9801340855390113,-3.0907336543873325,1.0,0.012233831070156445,351.35601806640625,-56.288787841796875
7,-0.04172490561238845,1.3677953769950204,-1.409520282607409,1.0,0.053168831501681335,-69.71434783935547,-82.0459976196289
8,4.1156917951411245,1.7065107105090676,2.409181084632057,1.0,0.0256093208039108,-83.95267486572266,-78.7412338256836
9,-3.533484917040324,2.6640371540646695,-6.197522071104993,1.0,0.04542036256499937,-78.31633758544922,-73.16260528564453
10,2.6838103413499996,2.636290222185391,0.04752011916460841,1.0,0.027570600314541144,-13.757240295410156,-43.248992919921875
11,1.2673601868954552,0.8810106288961876,0.3863495579992675,1.0,0.06321165731429838,-73.38001251220703,-77.99711608886719
12,-0.6926692414728137,2.431339579584372,-3.1240088210571857,1.0,0.013618621378600091,-85.79058074951172,-89.21979522705078
13,2.168040716425809,2.080721357952006,0.08731935847380301,1.0,0.021943885361111925,542.656494140625,-55.851097106933594
14,-0.8769384949786588,0.9353154853157429,-1.8122539802944018,1.0,0.05051921678292338,-79.61132049560547,-85.0302963256836
15,-0.5123750561544818,2.9665967377513898,-3.4789717939058713,1.0,0.025711451796838935,-76.24431610107422,-72.13790893554688
16,0.03386058988854912,1.204489916464001,-1.170629326575452,1.0,0.024521222757597844,-74.0405502319336,-75.79737091064453
17,0.4855095324722876,0.6610149286524157,-0.17550539618012811,1.0,0.013789830742662818,-76.2273178100586,-73.5064926147461
18,-0.5030649338250748,0.8847883579028495,-1.3878532917279243,1.0,0.01610311188103083,-79.3719482421875,-82.94635009765625
19,0.06564917666714194,0.9259359740861149,-0.860286797418973,1.0,0.011849318412280768,-86.58313751220703,-79.84105682373047
20,-0.21578975233630615,0.7218596657206077,-0.9376494180569138,1.0,0.03304441239638756,-77.69129943847656,-89.73644256591797
21,0.08406811382459715,0.7156545320518806,-0.6315864182272835,1.0,0.02123014232161392,-84.63064575195312,-81.45346069335938
22,-0.14335535705586985,0.7327935497618798,-0.8761489068177497,1.0,0.026564636195218913,-70.85188293457031,-72.3625259399414
23,5.204118870892814e-06,0.5022838099829608,-0.50227860586409,1.0,0.01989363233897333,-75.9222412109375,-78.5596694946289
24,-0.017836547504510577,0.5579495448463696,-0.5757860923508802,1.0,0.025438651740736562,-80.4452133178711,-90.53307342529297
25,-0.1081405873481931,0.9676287448415917,-1.0757693321897848,1.0,0.010400282736232913,-93.39108276367188,-90.84196472167969
26,-2.2928050062487793,1.7651661290329006,-4.057971135281679,1.0,0.014447979520558716,-80.95597076416016,-87.01714324951172
27,5.5129179571906635,3.4434520847065153,2.069465872484148,1.0,0.013244995942533791,-52.517845153808594,-41.12019348144531
28,-0.0013660274942270754,0.5054472707483076,-0.5068132982425347,1.0,0.03066108552000346,-80.24459838867188,-85.82371520996094
29,-0.02066282179030178,0.5943718480532042,-0.615034669843506,1.0,0.013306620522109742,-82.48504638671875,-84.14698028564453
30,-5.193964799212832,1.8566446012056683,-7.050609400418501,1.0,0.011652946381409688,-47.76118469238281,-39.75068664550781
31,8.221948991880849,5.594459079168214,2.627489912712635,1.0,0.008824178648902432,543.9130859375,26.760496139526367
32,7.88426255054237,3.857752715593532,4.026509834948838,1.0,0.04547403614927861,695.5048828125,-19.658164978027344
33,4.135433767698415,2.2654726347225442,1.8699611329758707,1.0,0.032647336442940086,-44.988014221191406,-54.46753692626953
34,-0.2628774726172449,3.635185919135538,-3.8980633917527827,1.0,0.014150973746398782,833.4906616210938,13.525717735290527
35,10.59841189446394,5.1315084475374615,5.466903446926478,1.0,0.015875863097773054,201.81204223632812,45.85832977294922
