day,profit,degradation,net,adapted,disagreement,nll,nll_post
0,3.8002078436315223,0.9663383120120602,2.833869531619462,1.0,0.01642232665937741,-76.76854705810547,-73.05886840820312
1,-0.0007085565285562415,0.502987400348316,-0.5036959568768723,1.0,0.006072084542697839,-44.07615661621094,-58.84954833984375
2,-0.02393704976197686,2.718676137566796,-2.742613187328773,1.0,0.0046496922958211544,-72.52793884277344,-73.35575866699219
3,-5.097833556774954,1.6314308473722408,-6.7292644041471945,1.0,0.004458052228786995,-60.37054443359375,-55.34264373779297
4,5.76036881978264,2.0348346451211845,3.725534174661455,1.0,0.006690636067933075,-78.30841064453125,-79.46057891845703
5,-1.7953083006171369,1.0579836994550007,-2.8532920000721376,1.0,0.0054993431721484165,-94.75312042236328,-94.39944458007812
6,-1.3137905537589631,2.0312850775447884,-3.3450756313037515,1.0,0.0031294439243716326,-89.24739074707031,-90.82276153564453
7,3.974088381060819,1.1864271717556043,2.787661209305215,1.0,0.004633184865040041,-76.18350982666016,-81.65428161621094
8,-0.6174304097987661,2.1934792685312816,-2.810909678330048,1.0,0.004860730318199864,-59.287261962890625,-65.70832061767578
9,2.177954801173227,2.019541922354861,0.15841287881836585,1.0,0.004088053346519341,-76.19879913330078,-74.18682098388672
10,46.50245192716539,2.2272234002176936,44.27522852694769,1.0,0.008039191035181392,49.55534362792969,-60.18726348876953
11,66.69362640317593,2.3216028159677355,64.37202358720819,1.0,0.02502537128845667,-24.42188835144043,-11.384602546691895
12,62.49913364470834,2.235095355011572,60.264038289696764,1.0,0.01733445352562781,-62.40855407714844,-72.52081298828125
13,64.44450694898576,2.4130578285006816,62.03144912048508,1.0,0.02061374418414226,-23.316246032714844,-34.275489807128906
14,-10.271823832948959,2.1264044783118456,-12.398228311260805,1.0,0.015078766180436057,-51.42070007324219,-53.16816711425781
15,101.43007653514174,2.723070111480099,98.70700642366164,1.0,0.01945119955343062,518.6069946289062,109.65899658203125
16,4.881375203930386,2.4835154251808187,2.397859778749567,1.0,0.027744909688443398,-27.322582244873047,-41.912689208984375
17,68.98018860042288,2.462549223680934,66.51763937674194,1.0,0.008016460733165013,-44.79248046875,-41.51702117919922
18,-4.360801382175493,2.9222856321723323,-7.283087014347826,1.0,0.018220783104262613,-50.21094512939453,-55.948875427246094
19,-2.5065091417627348,2.264085479010194,-4.770594620772929,1.0,0.008072646480211436,-67.17259216308594,-66.29113006591797
20,67.12760432113336,2.5532472679312734,64.57435705320209,1.0,0.004502915904778692,-39.147117614746094,-42.35997772216797
21,54.5027186471236,2.288189042762527,52.214529604361076,1.0,0.013246246524383972,-48.87261199951172,-49.13507843017578
22,62.64560926572836,3.1666610638296806,59.47894820189868,1.0,0.01596863336561763,-50.668121337890625,-51.061676025390625
23,44.94725444822252,2.709177052885027,42.2380773953375,1.0,0.013520917791365656,-55.980560302734375,-59.26124572753906
24,0.19913526003889215,2.4336816772769905,-2.234546417238098,1.0,0.016404086339631068,-66.3471450805664,-66.52484893798828
25,-0.09694567667489615,1.3707051069942273,-1.4676507836691235,1.0,0.0063360502727304166,-50.54932403564453,-59.31993103027344
26,-0.2545833924722332,0.9474837358501662,-1.2020671283223994,1.0,0.0034177886036650448,-89.41847229003906,-91.6366195678711
27,0.016565864586346003,0.743330339322207,-0.726764474735861,1.0,0.0059556902254710685,-72.75776672363281,-75.79850769042969
28,-2.1640363613391003,1.8980380791045204,-4.06207444044362,1.0,0.00347833860907908,-68.52980041503906,-68.25212860107422
29,48.16016483787215,2.158467608013081,46.00169722985907,1.0,0.006381095756474302,-28.79230308532715,-57.853858947753906
30,0.005269960645436722,2.9067445424048577,-2.901474581759421,1.0,0.01455234870695344,-54.66040802001953,-57.08110809326172
31,4.094299084020337,2.378051004916945,1.7162480791033916,1.0,0.00877189747991447,-54.67797088623047,-54.71782684326172
32,-0.06333934532932631,1.8970285784515828,-1.960367923780909,1.0,0.008169421481448313,-73.45161437988281,-76.74076080322266
33,0.23374705342125662,1.9105457984407372,-1.6767987450194806,1.0,0.009649911699545493,-62.47789764404297,-65.35736083984375
34,1.1577707103629828,3.5041837961587574,-2.3464130857957746,1.0,0.017662146721989184,-55.78271484375,-57.865196228027344
35,4.447441935096078,3.343136000700814,1.1043059343952644,1.0,0.014729933511909534,-63.82902526855469,-65.6386489868164
36,2.1189565663430363,2.6663029559937805,-0.5473463896507442,1.0,0.015267275373341294,-58.706764221191406,-58.33509063720703
37,2.2286818434556017,1.481177798925528,0.7475040445300738,1.0,0.01316994236356103,-66.44343566894531,-70.72421264648438
38,-0.9048229014223679,1.4831926564862428,-2.3880155579086106,1.0,0.015481718333936504,-72.44125366210938,-67.33421325683594
39,0.18890663884827966,1.403124640617679,-1.2142180017693993,1.0,0.007301492493406547,-87.74742889404297,-88.7296142578125
40,-1.468687138475298,1.2055900174516798,-2.674277155926978,1.0,0.008279099295382567,-68.23365783691406,-70.8232421875
41,0.2728438886076459,0.7996408107726093,-0.5267969221649633,1.0,0.009930837875075415,-70.28321838378906,-72.73722839355469
42,-0.1554551029847002,0.730587352353074,-0.8860424553377743,1.0,0.008842759284189967,-74.46861267089844,-76.1280288696289
43,-12.757991812519958,1.2586408532992335,-14.016632665819191,1.0,0.01202995182840104,-72.43573760986328,-75.04009246826172
44,11.360199261158115,2.457933113142726,8.90226614801539,1.0,0.006222012519295761,-67.6723861694336,-67.82361602783203
45,0.9693028728779332,2.0319766355366284,-1.0626737626586953,1.0,0.011606964267628342,-76.20758056640625,-76.62623596191406
46,-0.3392322997315945,0.9142201555981045,-1.253452455329699,1.0,0.008221440970694525,-78.66371154785156,-78.32923126220703
47,0.4893064130187339,1.8988998222126843,-1.4095934091939504,1.0,0.009001776065043718,-82.95913696289062,-82.27716827392578
48,0.7354560711034901,2.28830439105065,-1.55284831994716,1.0,0.00418845485783794,-71.0837173461914,-71.68230438232422
49,0.034713577388601036,0.9751781389639574,-0.9404645615753564,1.0,0.012701692055122782,-73.95912170410156,-77.11284637451172
50,1.2554305452987135e-05,0.5022838567553592,-0.5022713024499063,1.0,0.005802328458984547,-85.48973846435547,-88.32935333251953
51,1.242235918039536e-05,0.502283820295456,-0.5022713979362756,1.0,0.009326397113338441,-89.38462829589844,-87.25836181640625
52,1.1888137399193855e-05,0.5022838995891428,-0.5022720114517436,1.0,0.007815207779209037,-88.03563690185547,-90.09126281738281
53,0.23769153306678348,1.0187571732219547,-0.7810656401551712,1.0,0.005547686397970881,-89.20668029785156,-88.85733032226562
54,1.1251279476348274e-05,0.5022838538588783,-0.502272602579402,1.0,0.002976149915960477,-74.26786804199219,-76.02147674560547
55,0.07732938663397065,0.6259588204025607,-0.54862943376859,1.0,0.0056048435834137635,-74.71334075927734,-75.10308837890625
56,1.1188641079745342e-05,0.5022838932337051,-0.5022727045926254,1.0,0.004537907502802121,-87.84343719482422,-87.6419448852539
57,1.2348216821232797e-05,0.5022839194777409,-0.5022715712609196,1.0,0.00714722322635156,-77.21672058105469,-77.08395385742188
58,1.5291416181173847e-05,0.5022839027268554,-0.5022686113106742,1.0,0.004027217946061759,-81.48796081542969,-80.92435455322266
59,0.1775712649691197,0.583240302287132,-0.4056690373180123,1.0,0.007281816474762742,-70.1780776977539,-70.20035552978516
60,-0.2535194506051114,0.7487946544824209,-1.0023141050875322,1.0,0.006602637119153122,-89.6911392211914,-90.08731842041016
61,1.5071287447912517e-05,0.5022839689945531,-0.5022688977071051,1.0,0.005522688256301619,-83.74443054199219,-83.28022766113281
62,0.24792242855046576,2.0280046967724052,-1.7800822682219395,1.0,0.009153077976529811,-86.91931915283203,-89.4356460571289
63,-0.011271279828720449,0.5145976330934753,-0.5258689129221957,1.0,0.00630162856640866,-82.45222473144531,-83.58377075195312
64,-0.20572388918589332,1.413330016545507,-1.6190539057314002,1.0,0.004600470475834145,-86.45056915283203,-84.35497283935547
65,39.42721477982971,1.896839949690807,37.5303748301389,1.0,0.007618811414790996,-60.905250549316406,-65.1972885131836
66,2.7020561446874987,1.9303336264443214,0.7717225182431773,1.0,0.014708679921443158,-70.7051010131836,-72.0323486328125
67,-0.7356640416997798,1.6253206240966016,-2.3609846657963813,1.0,0.010336275902805449,-81.46305847167969,-81.45947265625
68,-0.5080399042744593,1.2381959633803015,-1.746235867654761,1.0,0.006414624703047615,-83.88737487792969,-85.21156311035156
69,6.078893927158836,3.431829593079804,2.647064334079032,1.0,0.010284967506259832,-68.77462768554688,-70.13636779785156
70,1.3911836577119083e-05,0.5022839547163526,-0.5022700428797754,1.0,0.012986660777588926,-73.59727478027344,-78.93684387207031
71,1.2629271623722133e-05,0.5022838774604966,-0.5022712481888729,1.0,0.009529762353015342,-86.36837005615234,-88.98119354248047
72,2.2899271206741396,2.0704197677346814,0.21950735293945822,1.0,0.010502181192038435,-75.14926147460938,-75.53158569335938
73,2.720878322103632,2.026650050752004,0.6942282713516281,1.0,0.011770081718359077,-78.82939147949219,-78.35137176513672
74,1.7598444116464589,1.1596692066815262,0.6001752049649327,1.0,0.006898128922649248,-80.38339233398438,-82.23303985595703
75,1.3576361270041457,1.9902033348942405,-0.6325672078900948,1.0,0.005554651982534736,-75.02274322509766,-78.99887084960938
76,-3.0879229187289665,2.5715895547802528,-5.659512473509219,1.0,0.013484812118469395,-70.81661987304688,-71.85335540771484
77,1.579265815307816,1.8970361055337028,-0.31777029022588676,1.0,0.015205787316041898,-87.21061706542969,-89.03670501708984
78,0.9122779573257316,2.0659702951445373,-1.1536923378188058,1.0,0.01145451190013152,-75.98678588867188,-78.18516540527344
79,2.4866697458537335,2.3810864403313317,0.1055833055224018,1.0,0.014729813860047403,-76.42517852783203,-81.4142837524414
80,-0.7327754712391688,2.185374397199614,-2.9181498684387828,1.0,0.015282520271439884,-76.72010040283203,-76.18016052246094
81,3.0650464425506887,2.1975682328467587,0.86747820970393,1.0,0.012376476214895639,-69.67650604248047,-71.72423553466797
82,-13.208876537375778,2.012030644177116,-15.220907181552894,1.0,0.01345380591238226,-83.58707427978516,-81.7984848022461
83,10.114431924086967,1.4952766701926905,8.619155253894276,1.0,0.013807335618551903,-83.75128936767578,-86.95446014404297
84,-0.08532839671784861,1.5741168297291408,-1.6594452264469894,1.0,0.012623352675665044,-73.85369110107422,-73.3448486328125
85,-0.056934905121088265,0.5807265574972765,-0.6376614626183648,1.0,0.011702447942983566,-81.88748931884766,-83.15074920654297
86,1.117589918001253,1.7618837798286098,-0.6442938618273568,1.0,0.00967884502971645,-80.43418884277344,-79.73133087158203
87,-0.20325797111084876,1.5316907854736137,-1.7349487565844623,1.0,0.007497472290588645,-80.63898468017578,-88.39466094970703
88,3.846663643184459,2.2984807289826055,1.5481829142018535,1.0,0.016428806137865817,-85.89911651611328,-89.7298812866211
89,1.713292453693409e-05,0.5022838959908629,-0.5022667630663259,1.0,0.008229331952749809,-75.38494873046875,-76.0107650756836
90,49.7826727881745,3.5087360798100407,46.27393670836446,1.0,0.0075824582177095486,-33.5989990234375,-51.01216125488281
91,53.287688951502886,3.8730639290494175,49.41462502245347,1.0,0.01902526326855273,-66.44752502441406,-65.73882293701172
92,-0.011316727750808013,0.512892414398625,-0.524209142149433,1.0,0.016445511730304577,-77.97114562988281,-75.49681091308594
93,-0.3388163047997703,2.0470133091788125,-2.385829613978583,1.0,0.007860503443703532,-71.07372283935547,-70.112060546875
94,2.6538547074740246,2.007271595473366,0.6465831120006587,1.0,0.00815683440783709,-78.84426879882812,-80.77523040771484
95,0.18323195355553423,2.183126158342397,-1.9998942047868629,1.0,0.0077478918617149214,-81.19523620605469,-82.96149444580078
96,0.5279926390339548,0.5342351879377024,-0.006242548903747647,1.0,0.009873397932828204,-77.35186004638672,-77.42237854003906
97,-0.405176053306465,0.9758222616572556,-1.3809983149637206,1.0,0.005716924197691317,-79.56204986572266,-78.6895751953125
98,-1.0659165443634337,2.115189847338957,-3.181106391702391,1.0,0.0085274841222812,-69.31948852539062,-78.83991241455078
99,-4.280964571548866,2.4548335918429993,-6.735798163391865,1.0,0.009952519977300425,-77.59391784667969,-78.1281967163086
100,66.42704251277873,2.61612712959688,63.81091538318184,1.0,0.01339341613165604,-66.13182067871094,-65.09986877441406
101,48.97175802238658,3.6646083999058368,45.30714962248074,1.0,0.015173314350852313,-60.47694396972656,-63.89268493652344
102,7.72000404816473,0.9272697448586874,6.792734303306043,1.0,0.013288443478487939,-69.83263397216797,-71.6832046508789
103,1.4510337284514632e-05,0.5022838829121516,-0.5022693725748671,1.0,0.007167327142301357,-88.42656707763672,-87.9567642211914
104,1.9201808745385875,2.4340566424154284,-0.5138757678768409,1.0,0.010802336964710441,-73.71208190917969,-75.2685775756836
105,5.558343656639169,2.274926259942515,3.283417396696654,1.0,0.006452088183989101,-75.60216522216797,-77.31777954101562
106,-4.631442024810686,2.6173060293717008,-7.2487480541823865,1.0,0.00962392956956736,-83.374755859375,-87.96512603759766
